cloud pressure =   792.2512 hPa
 species = NO2
 year = 2022
 month, day, hour =  1 25 18.0000
 lon, lat =   -85.0000    36.0000
 P(surface) =    963.998535      hPa
 P(tropopause) =    192.401306      hPa
U2M =   0.644 m/s
V2M =  -0.963 m/s
 N(total) =    4.28032441E+15  mol/cm^2
  i  pres_z        ap            bp            vmr_z         dN_z [cm^-2]  T_z[K]
 36  9.236572E+01  9.236572E+01  0.000000E+00  1.173258E-10  3.483450E+13  2.121921E+02
 37  7.851231E+01  7.851231E+01  0.000000E+00  1.414271E-10  3.612580E+13  2.115036E+02
 38  6.660341E+01  6.660341E+01  0.000000E+00  1.530229E-10  3.355737E+13  2.122370E+02
 39  5.638791E+01  5.638791E+01  0.000000E+00  2.003165E-10  3.763234E+13  2.121791E+02
 40  4.764391E+01  4.764391E+01  0.000000E+00  3.465177E-10  5.564930E+13  2.124892E+02
 41  4.017541E+01  4.017541E+01  0.000000E+00  4.588402E-10  6.285782E+13  2.134204E+02
 42  3.381001E+01  3.381001E+01  0.000000E+00  6.475603E-10  7.591066E+13  2.143036E+02
 43  2.836781E+01  2.836781E+01  0.000000E+00  8.994904E-10  8.992933E+13  2.148925E+02
 44  2.373041E+01  2.373041E+01  0.000000E+00  1.366061E-09  1.161059E+14  2.157948E+02
 45  1.979160E+01  1.979160E+01  0.000000E+00  2.099114E-09  1.511752E+14  2.168895E+02
 46  1.645710E+01  1.645710E+01  0.000000E+00  2.684833E-09  1.633091E+14  2.173011E+02
 47  1.364340E+01  1.364340E+01  0.000000E+00  3.195096E-09  1.636113E+14  2.180921E+02
 48  1.127690E+01  1.127690E+01  0.000000E+00  3.568607E-09  1.533444E+14  2.189420E+02
 49  9.292942E+00  9.292942E+00  0.000000E+00  3.547132E-09  1.286643E+14  2.199335E+02
 50  7.619842E+00  7.619842E+00  0.000000E+00  3.305249E-09  1.006389E+14  2.226140E+02
 51  6.216801E+00  6.216801E+00  0.000000E+00  3.008805E-09  7.647410E+13  2.252497E+02
 52  5.046801E+00  5.046801E+00  0.000000E+00  2.663714E-09  5.620184E+13  2.293656E+02
 53  4.076571E+00  4.076571E+00  0.000000E+00  2.241525E-09  3.904467E+13  2.351794E+02
 54  3.276431E+00  3.276431E+00  0.000000E+00  1.735829E-09  2.482467E+13  2.428471E+02
 55  2.620211E+00  2.620211E+00  0.000000E+00  1.133378E-09  1.323538E+13  2.535835E+02
 56  2.084970E+00  2.084970E+00  0.000000E+00  8.597966E-10  8.154047E+12  2.644668E+02
 57  1.650790E+00  1.650790E+00  0.000000E+00  6.872427E-10  5.264281E+12  2.730303E+02
 58  1.300510E+00  1.300510E+00  0.000000E+00  3.750302E-10  2.307867E+12  2.608622E+02
 59  1.019440E+00  1.019440E+00  0.000000E+00  1.731002E-10  8.511285E+11  2.553123E+02
 60  7.951341E-01  7.951341E-01  0.000000E+00  9.635252E-11  3.771751E+11  2.485929E+02
 61  6.167791E-01  6.167791E-01  0.000000E+00  4.255134E-11  1.318235E+11  2.421380E+02
 62  4.758061E-01  4.758061E-01  0.000000E+00  1.938117E-11  4.723747E+10  2.370086E+02
 63  3.650411E-01  3.650411E-01  0.000000E+00  7.715059E-12  1.470642E+10  2.395975E+02
 64  2.785261E-01  2.785261E-01  0.000000E+00  1.618630E-12  2.398989E+09  2.426742E+02
 65  2.113490E-01  2.113490E-01  0.000000E+00  6.033898E-13  6.912484E+08  2.434652E+02
 66  1.594950E-01  1.594950E-01  0.000000E+00  3.040215E-13  2.676453E+08  2.416493E+02
 67  1.197030E-01  1.197030E-01  0.000000E+00  1.952497E-13  1.313228E+08  2.378722E+02
 68  8.934502E-02  8.934502E-02  0.000000E+00  1.080177E-13  5.594983E+07  2.326644E+02
 69  6.600001E-02  6.600001E-02  0.000000E+00  4.515975E-14  1.847991E+07  2.251425E+02
 70  4.758501E-02  4.758501E-02  0.000000E+00  1.886437E-14  6.250382E+06  2.158813E+02
 71  3.270000E-02  3.270000E-02  0.000000E+00  6.552571E-15  1.856203E+06  2.109394E+02
 72  2.000000E-02  2.000000E-02  0.000000E+00  2.695074E-15  6.028054E+05  2.136412E+02
 73  1.000000E-02  1.000000E-02  0.000000E+00
