cloud pressure =   792.2512 hPa
 species = NO2
 year = 2022
 month, day, hour =  1 25 18.0000
 lon, lat =   -85.0000    36.0000
 P(surface) =    963.998535      hPa
 P(tropopause) =    192.401306      hPa
U2M =   0.644 m/s
V2M =  -0.963 m/s
 N(total) =    4.28032441E+15  mol/cm^2
  i  pres_z        ap            bp            vmr_z         dN_z [cm^-2]  T_z[K]
  1  9.639985E+02  0.000000E+00  1.000000E+00  1.320779E-09  4.043450E+14  2.740822E+02
  2  9.495403E+02  4.804826E-02  9.849520E-01  1.249685E-09  3.764245E+14  2.727380E+02
  3  9.353157E+02  6.593752E+00  9.634060E-01  1.189647E-09  3.583645E+14  2.715057E+02
  4  9.210913E+02  1.313480E+01  9.418650E-01  1.129611E-09  3.403541E+14  2.703249E+02
  5  9.068649E+02  1.961311E+01  9.203870E-01  1.065944E-09  3.212047E+14  2.692245E+02
  6  8.926381E+02  2.609201E+01  8.989080E-01  9.495374E-10  2.861541E+14  2.682939E+02
  7  8.784111E+02  3.257081E+01  8.774290E-01  7.149190E-10  2.154962E+14  2.675596E+02
  8  8.641821E+02  3.898201E+01  8.560180E-01  3.147837E-10  9.490778E+13  2.681009E+02
  9  8.499509E+02  4.533901E+01  8.346609E-01  8.715953E-11  2.628049E+13  2.692264E+02
 10  8.357198E+02  5.169611E+01  8.133039E-01  3.917253E-11  1.181233E+13  2.699590E+02
 11  8.214889E+02  5.805321E+01  7.919469E-01  1.348616E-11  4.067579E+12  2.708083E+02
 12  8.072561E+02  6.436264E+01  7.706375E-01  7.577031E-12  2.285814E+12  2.703311E+02
 13  7.930215E+02  7.062198E+01  7.493782E-01  6.726231E-12  2.706494E+12  2.697569E+02
 14  7.740372E+02  7.883422E+01  7.211660E-01  5.929234E-12  2.982728E+12  2.688212E+02
 15  7.503064E+02  8.909992E+01  6.858999E-01  5.854314E-12  2.945415E+12  2.675701E+02
 16  7.265763E+02  9.936521E+01  6.506349E-01  5.474433E-12  2.756654E+12  2.661770E+02
 17  7.028297E+02  1.091817E+02  6.158184E-01  4.940855E-12  2.488534E+12  2.648800E+02
 18  6.790818E+02  1.189586E+02  5.810415E-01  4.497292E-12  2.265664E+12  2.637926E+02
 19  6.553324E+02  1.286959E+02  5.463042E-01  5.019128E-12  3.795203E+12  2.623856E+02
 20  6.196942E+02  1.429100E+02  4.945902E-01  6.107220E-12  4.623330E+12  2.599786E+02
 21  5.840249E+02  1.562600E+02  4.437402E-01  5.444740E-12  4.123092E+12  2.567730E+02
 22  5.483555E+02  1.696090E+02  3.928911E-01  4.169347E-12  3.162581E+12  2.535670E+02
 23  5.126379E+02  1.816190E+02  3.433811E-01  3.191322E-12  2.422860E+12  2.507847E+02
 24  4.769012E+02  1.930970E+02  2.944031E-01  3.114038E-12  2.368213E+12  2.483782E+02
 25  4.411171E+02  2.032590E+02  2.467411E-01  2.976149E-12  2.267166E+12  2.455241E+02
 26  4.052872E+02  2.121500E+02  2.003501E-01  3.113305E-12  2.378101E+12  2.415135E+02
 27  3.693758E+02  2.187760E+02  1.562241E-01  5.224087E-12  3.998389E+12  2.369689E+02
 28  3.334102E+02  2.238980E+02  1.136021E-01  1.121784E-11  1.137556E+13  2.311232E+02
 29  2.857891E+02  2.243630E+02  6.372006E-02  2.835327E-11  2.533102E+13  2.229663E+02
 30  2.438666E+02  2.168650E+02  2.801004E-02  3.241101E-11  2.486129E+13  2.157779E+02
 31  2.079015E+02  2.011920E+02  6.960025E-03  3.084736E-11  2.039280E+13  2.130975E+02
 32  1.769300E+02  1.769300E+02  8.175413E-09  3.352415E-11  1.900459E+13  2.159059E+02
 33  1.503930E+02  1.503930E+02  0.000000E+00  3.905317E-11  1.883303E+13  2.160032E+02
 34  1.278370E+02  1.278370E+02  0.000000E+00  4.008084E-11  1.644386E+13  2.142432E+02
 35  1.086630E+02  1.086630E+02  0.000000E+00  7.685401E-11  2.682183E+13  2.132867E+02
