id,mnemonic,synopsis,description,datatype,units,red_low,yellow_low,yellow_high,red_high,raw_red_low,raw_yellow_low,raw_yellow_high,raw_red_high,enumlist,conversion,parameters,section_id,section_name,archive
30,adc_temp10,Temperature Sensor 12,"Temperature Sensor 12
 Telescope +X (no heater)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
31,adc_temp11,Temperature Sensor 13,"Temperature Sensor 13
 Telescope (Heater #6)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
32,adc_temp12,Temperature Sensor 14,"Temperature Sensor 14
 SMA Mask (Heater #7)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
33,adc_temp13,Temperature Sensor 15,"Temperature Sensor 15
 Telescope +X-Y (Heater #8)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
34,adc_temp14,Temperature Sensor 16,"Temperature Sensor 16
 Telescope +X+Y (Heater #9)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
35,adc_temp15,Temperature Sensor 17,"Temperature Sensor 17
 Telescope -X+Y (Heater #10)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
36,adc_temp16,Temperature Sensor 18,"Temperature Sensor 18
 Telescope -X-Y (Heater #11)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
37,adc_temp17,Temperature Sensor 19,"Temperature Sensor 19
 Telescope +Z (Heater #12)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
38,adc_temp18,Temperature Sensor 20,"Temperature Sensor 20
 Telescope -Z (Heater #13)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
39,adc_temp19,Temperature Sensor 21,"Temperature Sensor 21
 Telescope -Y-Z (Heater #14)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
40,adc_temp2,Temperature Sensor 2,"Temperature Sensor 2
 FPA Frame (Heater #2)",INT16,OHMS,674.2,813,54683,75824.2,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
41,adc_temp20,Temperature Sensor 22,"Temperature Sensor 22
 Telescope -Y+Z (Heater #15)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
42,adc_temp21,Temperature Sensor 21,"Temperature Sensor 21
 Spare",INT16,OHMS,300,1700,29500,58000,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
43,adc_temp22,Temperature Sensor 22,"Temperature Sensor 22
 Spare",INT16,OHMS,300,1700,29500,58000,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
44,adc_temp23,Temperature Sensor 23,"Temperature Sensor 23
 Spare",INT16,OHMS,300,1700,29500,58000,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
45,adc_temp24,Temperature Sensor 24,"Temperature Sensor 24
 Spare",INT16,OHMS,300,1700,29500,58000,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
46,adc_temp25,Temperature Sensor 25,"Temperature Sensor 25
 Spare",INT16,OHMS,300,1700,29500,58000,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
47,adc_temp3,Temperature Sensor 3,"Temperature Sensor 3
 CMA =Z face (Heater #3)",INT16,OHMS,470.7,561.9,75824.2,106362.9,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
48,adc_temp4,Temperature Sensor 4,"Temperature Sensor 4
 CMA Motor (No Heater)",INT16,OHMS,334.9,396.1,75824.2,106362.9,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
49,adc_temp5,Temperature Sensor 7,"Temperature Sensor 7
 Spectrometer -X (no heater)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
50,adc_temp6,Temperature Sensor 8,"Temperature Sensor 8
 Spectrometer +Z (no heater)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
51,adc_temp7,Temperature Sensor 9,"Temperature Sensor 9
 Sensor Heat Sink (No Heater)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
52,adc_temp8,Temperature Sensor 10,"Temperature Sensor 10
 Telescope T4 (no heater)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
53,adc_temp9,Temperature Sensor 11,"Temperature Sensor 11
 Telescope -X (no heater)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
54,adc1_txclk_err,ADC #1 TXCLK error flag,"When the TXCLK signal from ADC1 exhibits an error, this bit is latched to '1'. It can be cleared to a '0' state by writing a '1' to it.",UINT8,DN,,,,,,,,,,,,24,fpe_tlm,1
55,adc1_txfrm_eo_status,ADC #1 line even/odd flag,"0'- first pixel of previous line contained even TXFRM signature for ADC1; '1'- first pixel of previous line contained odd TXFRM signature for
 ADC1",UINT8,DN,,,,,,,,,,,,24,fpe_tlm,1
56,adc1_txfrm_err,ADC #1 TXFRM error flag,"When the TXFRM signal from ADC1 exhibits an error, this bit is latched to '1'. It can be cleared to a '0' state by writing a '1' to it.",UINT8,DN,,,,,,,,,,,,24,fpe_tlm,1
57,adc1_txfrm_lb_err,ADC #1 TXFRM frame signature mismatch flag,"When the first pixel of image lines contain unequal TXFRM signatures for ADC1, this bit is latched to '1'. It can be cleared to a '0' state by
 writing a '1' to it.",UINT8,DN,,,,,,,,,,,,24,fpe_tlm,1
58,adc2_txclk_err,ADC #2 TXCLK error flag,"When the TXCLK signal from ADC2 exhibits an error, this bit is latched to '1'. It can be cleared to a '0' state by writing a '1' to it.",UINT8,DN,,,,,,,,,,,,24,fpe_tlm,1
59,adc2_txfrm_eo_status,ADC #2 line even/odd flag,"0'- first pixel of previous line contained even TXFRM signature for ADC2; '1'- first pixel of previous line contained odd TXFRM signature for
 ADC2",UINT8,DN,,,,,,,,,,,,24,fpe_tlm,1
60,adc2_txfrm_err,ADC #2 TXFRM error flag,"When the TXFRM signal from ADC2 exhibits an error, this bit is latched to '1'. It can be cleared to a '0' state by writing a '1' to it.",UINT8,DN,,,,,,,,,,,,24,fpe_tlm,1
61,adc2_txfrm_lb_err,ADC #2 TXFRM frame signature mismatch flag,"When the first pixel of image lines contain unequal TXFRM signatures for ADC2, this bit is latched to '1'. It can be cleared to a '0' state by
 writing a '1' to it.",UINT8,DN,,,,,,,,,,,,24,fpe_tlm,1
62,anclrydatanumsa,Number of spacecraft ancillary data subaddresses,This telemetry item reports the number of subaddress for spacecraft ancillary data from the 1553 config table.,UINT8,DN,,,,,,,,,,,,10,1553_tlm,1
63,anclrydatasa1,First subaddress for spacecraft ancillary data,This telemetry item reports the first subaddress for spacecraft ancillary data from the 1553 config table.,UINT8,DN,,,,,,,,,,,,10,1553_tlm,1
64,apid,CCSDS Primary Header APID,The APID of the telemetry packet.,UINT16,DN,,,,,,,,,,,,2,ccsds_pri_header,1
65,ascii_buf_char_cnt,Number of valid characters in the ASCII buffer table,"This telemetry item indicates the number of characters written to the ASCII buffer table during the last 'CHECK_CPU' or 'CHECK_RTOS'
 command execution.",UINT16,DN,,,,,,,,,,,,16,util_info,1
66,b1553running,Flag indicating if 1553 core has been started,"This telemetry item reports the flag used to indicate if the 1553 core has been started. The 1553 core is not started until the first set of critical
 telemetry is loaded in to 1553 memory.",UINT32,DN,,,,,,,,,,,,10,1553_tlm,1
67,boot_crc,ICE Active Image CRC,CRC value calculated by the BOOTROM for the active FSW image currently running.,UINT32,DN,,,,,,,,,,,,7,crit_tlm,1
68,boot_image,ICE Boot Image,"This telemetry item reports the boot image selection (the value of the SCIO ACT_IMG field from the SCIO_STAT register). This is the image
 that will be boot at the next reset of the ICE.
 0 = Image 0
 1 = Image 1",ENUM,DN,,,,,,,,,"IMAGE_0:0, IMAGE_1:1",,,7,crit_tlm,1
69,boot_ram_err_cnt,Bootrom RAM test errors,This item indicates the number of errors detected by the bootrom while testing RAM.,UINT16,DN,,,1,1,,,,,,,,16,util_info,1
70,cbm_bypass_cnt,Number of bypassed CBM commands,Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.,UINT16,DN,,,,,,,,,,,,9,cmd_tt_info,1
71,cbm_last_id,Last executed CBM block ID,"This telemetry item indicates the ID of the command block that was executed last.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT16,DN,,,,,,,,,,,,9,cmd_tt_info,1
72,cbm_procd_cnt,Number of processed CBM commands,Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.,UINT16,DN,,,,,,,,,,,,9,cmd_tt_info,1
73,cbm_routed_cnt,Number of routed CBM commands,Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.,UINT16,DN,,,,,,,,,,,,9,cmd_tt_info,1
74,cbm_state,Current state of the Command Block Memory CSU,Current state of the Command Block Memory CSU,ENUM,DN,,,,,,,,,"IDLE:0, RUN_CRIT:1, RUN_NON_CRIT:2",,,9,cmd_tt_info,1
75,cbm_tbl_index,Cmd block index being processed by CBM,Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.,UINT16,DN,,,,,,,,,,,,9,cmd_tt_info,1
76,ccd_int_type,CCD Integration Type used when FPE is commanded to IMAGING,This telemetry item reports the value of the FPE FPGA CCD_INT_TYPE register,ENUM,DN,,,,,,,,,"NOMINAL:0, SHORT_INT:1, LONG_INT:2, DARK_INT:3",,,24,fpe_tlm,1
77,ccd_param_sel,Indicates if the CCD_PARAM_SEL jumper input is high or low,Indicates if the CCD_PARAM_SEL jumper input is high or low,UINT8,DN,,,,,,,,,,,,24,fpe_tlm,1
78,ccd_temp1,Latest value of CCD temperature sensor #1,FPE FPGA FPE_ATLM_CCD_TEMP1 register,UINT16,C,-40,-35,50,55,,,,,,poly1,-111.924 0.04697,29,fpe_analog_tlm2,1
79,ccd_temp1_valid,Validity of CCD temperature sensor #1,FPE FPGA FPE_ATLM_CCD_TEMP1 register,ENUM,DN,,,,,,,,,"OK:0, STALE:1:r",,,29,fpe_analog_tlm2,1
80,ccd_temp2,Latest value of CCD temperature sensor #2,FPE FPGA FPE_ATLM_CCD_TEMP2 register,UINT16,C,-40,-35,50,55,,,,,,poly1,-96.961 0.04704,29,fpe_analog_tlm2,1
81,ccd_temp2_valid,Validity of CCD temperature sensor #2,FPE FPGA FPE_ATLM_CCD_TEMP2 register,ENUM,DN,,,,,,,,,"OK:0, STALE:1:r",,,29,fpe_analog_tlm2,1
82,chn_lnk_par_err_cnt,Number of ChannelLink Parity Errors,This counter reports the total number of ChannelLink parity errors.,UINT32,DN,-1,-1,1,1,,,,,,,,22,spw_chn_lnk,1
83,chn_lnk_status,Status of ChannelLink,The current status of the ChannelLink.,UINT8,DN,,,,,,,,,,,,22,spw_chn_lnk,1
84,cice_id,ICE Active Electronics box,Unique ID of the Interface Electronics box,ENUM,DN,,,,,,,,,"GEMS_A:28330, GEMS_B:28347, UNDOCUMENTED:32496",,,7,crit_tlm,1
85,cma_back_porch,CMA motor move back porch duration,This telemetry item reports the BCK_PRCH field from the HSC FPGA MTR_CNTRL_RT register,UINT16,msec,,,,,,,,,,poly1,0 0.4545,18,mech_stepper_tlm,1
86,cma_front_porch,CMA motor move front porch duration,This telemetry item reports the FNT_PRCH field from the HSC FPGA MTR_CNTRL_RT register,UINT16,msec,,,,,,,,,,poly1,0 0.4545,18,mech_stepper_tlm,1
87,cma_last_abs_move_status,Status of last Cal Mechanism Absolute Move,Status of last Cal Mechanism Absolute Move,ENUM,DN,,,,,,,,,"NONE:0, STEPS_LEFT:2113565, ABORTED:33816590, FAILED:33816591, SUCCESS:33816593, TIMEOUT:33816594",,,18,mech_stepper_tlm,1
88,cma_move_dir,Calibrator Mechanism Move Direction,Calibrator Mechanism Move Direction,ENUM,DN,,,,,,,,,"CW:0, CCW:1",,,18,mech_stepper_tlm,1
89,cma_move_steps,Calibrator Mechanism Commanded Number of Steps to Move,Calibrator Mechanism Commanded Number of Steps to Move,UINT16,DN,,,,,,,,,,,,18,mech_stepper_tlm,1
90,cma_moving,Calibrator Mechanism Moving Flag,Read from HSC FPGA register,ENUM,DN,,,,,,,,,"NOT_MOVING:0, MOVING:1",,,18,mech_stepper_tlm,1
91,cma_mtr_1_ocp,Calibrator Mechanism Motor 1 Overcurrent Protection Status,Calibrator Mechanism Motor 1 Overcurrent Protection Status,ENUM,DN,,,,,,,,,"OK:0, PHASE_A_TRIP:1, PHASE_B_TRIP:2, PHASE_A_B_TRIP:3",,,18,mech_stepper_tlm,1
92,cma_mtr_2_ocp,Calibrator Mechanism Motor 2 Overcurrent Protection Status,Calibrator Mechanism Motor 2 Overcurrent Protection Status,ENUM,DN,,,,,,,,,"OK:0, PHASE_A_TRIP:1, PHASE_B_TRIP:2, PHASE_A_B_TRIP:3",,,18,mech_stepper_tlm,1
93,cma_mtr_ab_stat,Indicates if the most recent CMA move occurred on mtr A or B,"This field is cleared to zero during a move, and is set to indicate on which motor the previous move occurred once the move completes.",ENUM,DN,,,,,,,,,"NONE:0, MTR_A:1, MTR_B:2",,,18,mech_stepper_tlm,1
94,cma_mtr_go_err,Indicates if an error was detected while trying to start the move,This telemetry item reports the status of the MTR_GO_ERR bit in the HSC FPGA MTR_STATUS register,ENUM,DN,,,,,,,,,"OK:0, ERROR:1",,,18,mech_stepper_tlm,1
95,cma_mtr_neg_cur,Negative motor current used when moving the CMA,This item reports the DAC_NEG value from the HSC FPGA MTR_I_CNTRL register,UINT16,A,,,,,,,,,,poly1,0.754008 -0.0003682579,18,mech_stepper_tlm,1
96,cma_mtr_pos_cur,Positive motor current used when moving the CMA,This item reports the DAC_POS value from the HSC FPGA MTR_I_CNTRL register,UINT16,A,,,,,,,,,,poly1,0.754008 -0.0003682579,18,mech_stepper_tlm,1
97,cma_ocp_status,HSC FPGA Overcurrent Control Register,HSC FPGA Overcurrent Control Register,ENUM,DN,,,,,,,,,"DISABLED:0, ENABLED:1",,,18,mech_stepper_tlm,1
98,cma_pos,Calibrator Mechanism Resolver Position,Calibrator Mechanism Resolver Position,UINT16,DN,,,,,,,,,,,,18,mech_stepper_tlm,1
99,cma_res_en_err,Indicates if an error was detected while trying to enable resolver driver,This telemetry item reports the status of the RES_EN_ERR bit in the HSC RES_EN register,ENUM,DN,,,,,,,,,"OK:0, ERROR:1",,,18,mech_stepper_tlm,1
100,cma_res_pwr_a,Calibrator Mechanism Resolver A Power,Calibrator Mechanism Resolver A Power,ENUM,DN,,,,,,,,,"OFF:0, ON:1",,,18,mech_stepper_tlm,1
101,cma_res_pwr_b,Calibrator Mechanism Resolver B Power,Calibrator Mechanism Resolver B Power,ENUM,DN,,,,,,,,,"OFF:0, ON:1",,,18,mech_stepper_tlm,1
102,cma_spare,Spare unused bits in MECH_STEPPER_TLM,Unused padding bits,UINT8,DN,,,,,,,,,,,,18,mech_stepper_tlm,1
103,cma_state,Calibrator Mechanism State,"State of the CMA: OFF, IDLE or moving.",ENUM,DN,,,,,,,,,"OFF:0, IDLE:1, MOVING_REL:2, MOVING_ABS:4, MOVING_RETRY:6",,,18,mech_stepper_tlm,1
104,cma_step_rate,Motor stepping rate for the CMA,This telemetry item reports the motor step rate from the HSC FPGA MTR_CNTRL_RT register,UINT16,msec,,,,,,,,,,poly1,0 0.4545,18,mech_stepper_tlm,1
105,cma_steps_rem,Calibrator Mechanism Motor Steps Remaining,Calibrator Mechanism Motor Steps Remaining,UINT16,DN,,,,,,,,,,,,18,mech_stepper_tlm,1
106,cmd_day_00,Command History Log Entry #1 Time Tag (Days Since Epoch),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_1, the most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
107,cmd_day_01,Command History Log Entry #2 Time Tag (Days Since Epoch),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_2, the 2nd most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
108,cmd_day_02,Command History Log Entry #3 Time Tag (Days Since Epoch),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_3, the 3rd most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
109,cmd_day_03,Command History Log Entry #4 Time Tag (Days Since Epoch),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_4, the 4th most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
110,cmd_day_04,Command History Log Entry #5 Time Tag (Days Since Epoch),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_5, the 5th most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
111,cmd_day_05,Command History Log Entry #6 Time Tag (Days Since Epoch),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_6, the 6th most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
112,cmd_day_06,Command History Log Entry #7 Time Tag (Days Since Epoch),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_7, the 7th most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
113,cmd_day_07,Command History Log Entry #8 Time Tag (Days Since Epoch),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_8, the 8th most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
114,cmd_day_08,Command History Log Entry #9 Time Tag (Days Since Epoch),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_9, the 9th most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
115,cmd_day_09,Command History Log Entry #10 Time Tag (Days Since Epoch),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_10, the 10th most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
116,cmd_msec_00,Command History Log Entry #0 Time Tag (Milliseconds),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_00, the 1st most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
117,cmd_msec_01,Command History Log Entry #1 Time Tag (Milliseconds),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_01, the 2nd most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
118,cmd_msec_02,Command History Log Entry #2 Time Tag (Milliseconds),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_02, the 3rd most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
119,cmd_msec_03,Command History Log Entry #3 Time Tag (Milliseconds),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_03, the 4th most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
120,cmd_msec_04,Command History Log Entry #4 Time Tag (Milliseconds),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_04, the 5th most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
121,cmd_msec_05,Command History Log Entry #5 Time Tag (Milliseconds),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_05,the 6th most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
122,cmd_msec_06,Command History Log Entry #6 Time Tag (Milliseconds),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_06, the 7th most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
