id,mnemonic,synopsis,description,datatype,units,red_low,yellow_low,yellow_high,red_high,raw_red_low,raw_yellow_low,raw_yellow_high,raw_red_high,enumlist,conversion,parameters,section_id,section_name,archive
0,act_limit_cntrl,SMC FPGA Limit monitoring auto-shutdown configuration,"This item reports the value of the SMC FPGA ACT_LIMIT_CNTRL register.
 This register setting controls the shutdown operation if the corresponding Actuator Processing Loop FPU's limit status bit is set.",UINT16,DN,,,,,,,,,,,,26,sma_info1,1
1,active_image,ICE Active Image,"This telemetry item reports the active image selection (the value of the SCIO BOOT_IMG field from the SCIO_STAT register). This is the
 image that was booted during the most recent reset of the ICE.
 0 = Image 0
 1 = Image 1",ENUM,DN,,,,,,,,,"IMAGE_0:0, IMAGE_1:1",,,7,crit_tlm,1
2,adc_busv_tlm,Input ICE Bus Voltage,"Value of the input ICE Bus Voltage. Note that this telemetry point is only valid when the heater master power is enabled
 (HTR_MASTER_PWR = ON).",INT16,V,46,47.5,52,53,,,,,,poly1,-2.99010513E-08 0.0019595055957,12,adc_tlm,1
3,adc_cal0_tmp_mux0,ADC_CAL0_TMP_MUX0,ADC_CAL0_TMP_MUX0,INT16,OHMS,,,,,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
4,adc_cal0_tmp_mux1,ADC_CAL0_TMP_MUX1,ADC_CAL0_TMP_MUX1,INT16,OHMS,,,,,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
5,adc_cal0_tmp_mux2,ADC_CAL0_TMP_MUX2,ADC_CAL0_TMP_MUX2,INT16,OHMS,,,,,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
6,adc_cal1_tmp_mux0,ADC_CAL1_TMP_MUX0,ADC_CAL1_TMP_MUX0,INT16,OHMS,,,,,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
7,adc_cal1_tmp_mux1,ADC_CAL1_TMP_MUX1,ADC_CAL1_TMP_MUX1,INT16,OHMS,,,,,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
8,adc_cal1_tmp_mux2,ADC_CAL1_TMP_MUX2,ADC_CAL1_TMP_MUX2,INT16,OHMS,,,,,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
9,adc_cal2_tmp_mux2,ADC_CAL2_TMP_MUX2,ADC_CAL2_TMP_MUX2,INT16,OHMS,,,,,,,,,,poly1,-4.63812796E-06 0.30395044,12,adc_tlm,1
10,adc_cal3_tmp_mux2,ADC_CAL3_TMP_MUX2,ADC_CAL3_TMP_MUX2,INT16,OHMS,,,,,,,,,,poly1,-4.63812796E-06 0.30395044,12,adc_tlm,1
11,adc_clct_cnt,ADC Collection counter,This telemetry item reports the number of times the FSW has collected Analog-to-Digital converted telemetry.,UINT32,DN,,,,,,,,,,,,16,util_info,1
12,adc_ditce_temp,ADC_DITCE_TEMP,"Temperature sensor DITCE
 SMA DITCE (Heater #4)",INT16,OHMS,986,1201,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
13,adc_hsc_temp,ADC_HSC_TEMP,ADC_HSC_TEMP,INT16,OHMS,334.9,396.1,54683,75824.2,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
14,adc_lvps_temp,ADC_LVPS_TEMP,ADC_LVPS_TEMP,INT16,OHMS,334.9,396.1,54683,75824.2,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
15,adc_mdf_temp,ADC_MDF_TEMP,ADC_MDF_TEMP,INT16,OHMS,334.9,396.1,54683,75824.2,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
16,adc_n13_5_v_tlm,ADC_N13_5_V_TLM,ADC_N13_5_V_TLM,INT16,V,-15.12,-14.85,-12.15,-11.88,,,,,,poly1,-9.31350996E-09 0.000610342249,12,adc_tlm,1
17,adc_p13_5_v_tlm,ADC_P13_5_V_TLM,ADC_P13_5_V_TLM,INT16,V,11.88,12.15,14.85,15.12,,,,,,poly1,-9.31350996E-09 0.000610342249,12,adc_tlm,1
18,adc_p2_5_v_ref,ADC_P2_5_V_REF,ADC_P2_5_V_REF,INT16,V,2.43,2.46,2.54,2.57,,,,,,poly1,-4.65675498E-09 0.000305171124,12,adc_tlm,1
19,adc_p3_3_vdc,ADC_P3_3_VDC,ADC_P3_3_VDC,INT16,V,3.15,3.19,3.52,3.55,,,,,,poly1,-4.65675498E-09 0.000305171124,12,adc_tlm,1
20,adc_rtd0,ADC_RTD0,ADC_RTD0,INT16,OHMS,,,,,,,,,,poly1,-4.63812796E-06 0.30395044,12,adc_tlm,1
21,adc_rtd1,ADC_RTD1,ADC_RTD1,INT16,OHMS,,,,,,,,,,poly1,-4.63812796E-06 0.30395044,12,adc_tlm,1
22,adc_sbc_temp,ADC_SBC_TEMP,ADC_SBC_TEMP,INT16,OHMS,334.9,396.1,54683,75824.2,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
23,adc_sm_base_temp,ADC_SM_BASE_TEMP,"Temperature sensor SMA Base
 SMA Base (No Heater)",INT16,OHMS,674.2,813,39874,54683,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
24,adc_smc_temp,ADC_SMC_TEMP,ADC_SMC_TEMP,INT16,OHMS,334.9,396.1,54683,75824.2,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
25,adc_spare_0,Spare,Spare,INT16,OHMS,,,,,,,,,,poly1,-2.79405299E-05 1.83102675,14,adc_tlm_spare,1
26,adc_spare_1,Spare,Spare,INT16,OHMS,,,,,,,,,,poly1,-2.79405299E-05 1.83102675,14,adc_tlm_spare,1
27,adc_spare_2,Spare,Spare,INT16,OHMS,,,,,,,,,,poly1,-2.79405299E-05 1.83102675,14,adc_tlm_spare,1
28,adc_temp0,Temperature Sensor 0,"Temperature Sensor 0
 FPA Strap (Heater #0)",INT16,OHMS,674.2,813,54683,75824.2,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
29,adc_temp1,Temperature Sensor 1,"Temperature Sensor 1
 FPA Window (Heater #1)",INT16,OHMS,674.2,813,54683,75824.2,,,,,,poly1,-2.79405299E-05 1.83102675,12,adc_tlm,1
